"RefDes","Pattern","X (mm)","Y (mm)","Side","Rotate","Name"
"C1","0603","30,376","32,221","Top","270","CAP_0603_220nF_25V"
"C2","0603","30,756","69,65","Top","270","CAP_0603_220nF_25V"
"C3","0603","22,078","72,817","Top","270","CAP_0603_220nF_25V"
"C4","0603","28,299","70,554","Top","0","CAP_0603_220nF_25V"
"C5","0603","22,909","81,45","Top","0","CAP_0603_220nF_25V"
"C6","0603","25,068","69,65","Top","270","CAP_0603_220nF_25V"
"C7","0603","24,716","32,104","Top","180","CAP_0603_220nF_25V"
"C8","0603","28,607","32,001","Top","90","CAP_0603_220nF_25V"
"C9","0603","21,52","39,248","Top","90","CAP_0603_220nF_25V"
"C10","0805","54,835","31,451","Top","270","CAP_0805_10uF_16V"
"C11","0603","21,645","35,555","Top","270","CAP_0603_220nF_25V"
"C12","0603","59,848","58,947","Top","270","CAP_0603_10pF_10V"
"C13","0603","62,225","56,706","Top","180","CAP_0603_10pF_10V"
"C14","0402","51,025","57,989","Top","0","CAP_0402_100nF_50V"
"C15","0402","61,164","49,551","Top","270","CAP_0402_100nF_50V"
"C16","0402","52,252","39,848","Top","0","CAP_0402_100nF_50V"
"C17","0805","43,043","48,437","Top","180","CAP_0805_10uF_16V"
"C18","1206","88,77","65,077","Top","0","CAP_1206_10uF_50V"
"C19","0805","80,088","46,489","Top","270","CAP_0805_10uF_16V"
"C20","0603","44,041","24,297","Top","270","CAP_0603_2.2uF_25V"
"C21","0603","78,411","51,166","Top","90","CAP_0603_2.2uF_25V"
"C22","0603","71,706","50,947","Top","180","CAP_0603_2.2uF_25V"
"C23","0603","35,872","30,036","Top","180","CAP_0603_2.2uF_25V"
"C24","0603","64,94","73,611","Top","270","CAP_0603_2.2uF_25V"
"C25","0603","55,075","76,09","Top","90","CAP_0603_2.2uF_25V"
"C26","0603","22,381","19,07","Top","270","CAP_0603_2.2uF_25V"
"C27","0603","36,502","18,781","Top","90","CAP_0603_2.2uF_25V"
"C28","0805","70,986","67,02","Top","270","CAP_0805_10uF_16V"
"C29","1206","65,712","14,316","Top","270","CAP_1206_10uF_50V"
"Heartbeat","Kingbright 0603 LED KPT-1608SURCK","44,957","39,651","Top","180","0603 LED Orange"
"I2C","Pin header 4P","40,638","65,85","Top","180","Pin header 4P"
