RefDes;Name;Pattern;X (mil);Y (mil);Side;Rotate;Value
C1;CAP_0603_220nF_25V;0603;1195,92;1268,55;Top;270;220nF_25V_10%
C2;CAP_0603_220nF_25V;0603;1210,88;2742,12;Top;270;220nF_25V_10%
C3;CAP_0603_220nF_25V;0603;869,2;2866,83;Top;270;220nF_25V_10%
C4;CAP_0603_220nF_25V;0603;1114,13;2777,71;Top;0;220nF_25V_10%
C5;CAP_0603_220nF_25V;0603;901,92;3206,7;Top;0;220nF_25V_10%
C6;CAP_0603_220nF_25V;0603;986,91;2742,12;Top;270;220nF_25V_10%
C7;CAP_0603_220nF_25V;0603;973,08;1263,92;Top;180;220nF_25V_10%
C8;CAP_0603_220nF_25V;0603;1126,28;1259,9;Top;90;220nF_25V_10%
C9;CAP_0603_220nF_25V;0603;847,24;1545,18;Top;90;220nF_25V_10%
C10;CAP_0805_10uF_16V;0805;2158,87;1238,25;Top;270;10uF_16V_10%
C11;CAP_0603_220nF_25V;0603;852,17;1399,8;Top;270;220nF_25V_10%
C12;CAP_0603_10pF_10V;0603;2356,2;2320,77;Top;270;10pF_10V_1%
C13;CAP_0603_10pF_10V;0603;2449,8;2232,53;Top;180;10pF_10V_1%
C14;CAP_0402_100nF_50V;0402;2008,87;2283,03;Top;0;100nF_50V_10%
C15;CAP_0402_100nF_50V;0402;2408,03;1950,82;Top;270;100nF_50V_10%
C16;CAP_0402_100nF_50V;0402;2057,15;1568,8;Top;0;100nF_50V_10%
C17;CAP_0805_10uF_16V;0805;1694,6;1906,98;Top;180;10uF_16V_10%
C18;CAP_1206_10uF_50V;1206;3494,88;2562,09;Top;0;10uF_50V_10%
C19;CAP_0805_10uF_16V;0805;3153,06;1830,28;Top;270;10uF_16V_10%
C20;CAP_0603_2.2uF_25V;0603;1733,88;956,56;Top;270;2.2uF_25V_10%
C21;CAP_0603_2.2uF_25V;0603;3087,05;2014,42;Top;90;2.2uF_25V_10%
C22;CAP_0603_2.2uF_25V;0603;2823,08;2005,8;Top;180;2.2uF_25V_10%
C23;CAP_0603_2.2uF_25V;0603;1412,3;1182,52;Top;180;2.2uF_25V_10%
