RefDes;Name;Pattern;X (mm);Y (mm);Side;Rotate;Value
3.3V;Test point LARGE;Solder spot/pin header;18,574;13,785;Top;180;GND
C1;CAP_0603_1uF_16V;0603;13,499;24,192;Top;90;1uF_16V_10%
C2;CAP_0603_1uF_16V;0603;11,401;13,253;Top;270;1uF_16V_10%
C3;CAP_0603_100nF_25V;0603;34,352;18,535;Top;0;100nF_25V_10%
C4;CAP_0603_100nF_25V;0603;33,797;21,801;Top;90;100nF_25V_10%
C5;CAP_0805_10uF_35V;0805;28,635;12,575;Top;180;10uF_35V_20%
C6;CAP_0603_100nF_25V;0603;19,458;10,789;Top;180;100nF_25V_10%
C7;CAP_0603_100nF_25V;0603;27,055;18,886;Top;270;100nF_25V_10%
C8;CAP_0402_10nF_25V;0402;25,959;22,058;Top;90;10nF_25V_10%
D1;5.6V Zener;SOD-323;11,86;25,17;Top;90;5V6
D2;0603 LED Red;Kingbright 0603 LED KPT-1608SURCK;17,173;27,687;Top;0;630nm
GND;Test point LARGE;Solder spot/pin header;13,814;9,585;Top;180;GND
J1;Pin header 6P (lock);1X06_LOCK;44,004;14,991;Bottom;90;1x6
J2;Pin header 6P (lock);1X06_LOCK;5,996;15,009;Bottom;270;1x6
Q2;DMP2035U-7 P ch Enh Power;SOT23-3;9;24,05;Top;0;
R1;RES_0603_56k2_1%;0603;9,202;26,411;Top;0;56k2_1%
R2;RES_0603_220R_1%;0603;17,139;24,392;Top;90;220R_1%
SCL;Test point;Solder spot/pin header;29,381;9,385;Top;90;GND
SDA;Test point;Solder spot/pin header;32,481;9,385;Top;90;GND
U2;LSM9DS1 IMU;LGA24 3.5x3 (IMU);29,941;20,869;Top;90;
U3;SHT31-DIS-B;DFN-8R/2.5x2.5x0.5;23,126;9,276;Top;180;
U1;MCP1703;MCP1703-3302E/DB LDO;12,3;19,258;Top;270;250mA/3.3v 
LDO_BYPASS;Solder jumper 2p;Solder Jumper 2P;19,68;19,63;Top;270;
