RefDes;Pattern;X (mm);Y (mm);Side;Rotate;Name
3.3V;Solder spot/pin header;18,574;13,785;Top;180;Test point LARGE
C1;0603;13,499;24,192;Top;90;CAP_0603_1uF_16V
C2;0603;11,401;13,253;Top;270;CAP_0603_1uF_16V
C3;0603;34,352;18,535;Top;0;CAP_0603_100nF_25V
C4;0603;33,797;21,801;Top;90;CAP_0603_100nF_25V
C5;0805;28,635;12,575;Top;180;CAP_0805_10uF_35V
C6;0603;19,458;10,789;Top;180;CAP_0603_100nF_25V
C7;0603;27,055;18,886;Top;270;CAP_0603_100nF_25V
C8;0402;25,959;22,058;Top;90;CAP_0402_10nF_25V
D1;SOD-323;11,86;25,17;Top;90;5.6V Zener
D2;Kingbright 0603 LED KPT-1608SURCK;17,173;27,687;Top;0;0603 LED Red
GND;Solder spot/pin header;13,814;9,585;Top;180;Test point LARGE
J1;1X06_LOCK;44,004;14,991;Bottom;90;Pin header 6P (lock)
J2;1X06_LOCK;5,996;15,009;Bottom;270;Pin header 6P (lock)
Q2;SOT23-3;9;24,05;Top;0;DMP2035U-7 P ch Enh Power
R1;0603;9,202;26,411;Top;0;RES_0603_56k2_1%
R2;0603;17,139;24,392;Top;90;RES_0603_220R_1%
SCL;Solder spot/pin header;29,381;9,385;Top;90;Test point
SDA;Solder spot/pin header;32,481;9,385;Top;90;Test point
U2;LGA24 3.5x3 (IMU);29,941;20,869;Top;90;LSM9DS1 IMU
U3;DFN-8R/2.5x2.5x0.5;23,126;9,276;Top;180;SHT31-DIS-F2.5KS (membrane version)
U1;MCP1703-3302E/DB LDO;12,3;19,258;Top;270;MCP1703
LDO_BYPASS;Solder Jumper 2P;19,68;19,63;Top;270;Solder jumper 2p
