RefDes;Name;Pattern;X (mm);Y (mm);Side;Rotate;Value
C1;CAP_0603_220nF_25V;0603;-34,156;25,475;Top;270;220nF_25V_10%
C2;CAP_0603_220nF_25V;0603;-33,803;63,134;Top;270;220nF_25V_10%
C3;CAP_0603_220nF_25V;0603;-42,693;65,357;Top;270;220nF_25V_10%
C4;CAP_0603_220nF_25V;0603;-36,234;63,806;Top;0;220nF_25V_10%
C5;CAP_0603_220nF_25V;0603;-41,624;74,703;Top;0;220nF_25V_10%
C6;CAP_0603_220nF_25V;0603;-39,465;62,904;Top;270;220nF_25V_10%
C7;CAP_0603_220nF_25V;0603;-39,815;25,358;Top;180;220nF_25V_10%
C8;CAP_0603_220nF_25V;0603;-36,464;24,458;Top;0;220nF_25V_10%
C9;CAP_0603_220nF_25V;0603;-43,188;32,452;Top;0;220nF_25V_10%
C10;CAP_0805_10uF_16V;0805;-9,697;24,705;Top;270;10uF_16V_10%
C11;CAP_0603_220nF_25V;0603;-42,887;28,809;Top;270;220nF_25V_10%
C12;CAP_0603_10pF_10V;0603;-4,685;52,201;Top;270;10pF_10V_1%
C13;CAP_0603_10pF_10V;0603;-2,307;49,96;Top;180;10pF_10V_1%
C14;CAP_0402_100nF_50V;0402;-13,506;51,242;Top;0;100nF_50V_10%
C15;CAP_0402_100nF_50V;0402;-3,332;42,998;Top;270;100nF_50V_10%
C16;CAP_0402_100nF_50V;0402;-12,28;33,101;Top;0;100nF_50V_10%
C17;CAP_0805_10uF_16V;0805;-21,562;41,567;Top;180;10uF_16V_10%
C18;CAP_1206_10uF_50V;1206;26,483;25,389;Top;0;10uF_50V_10%
C19;CAP_0805_10uF_16V;0805;17,52;37,678;Top;180;10uF_16V_10%
C20;CAP_0603_2.2uF_25V;0603;-19,99;22,2;Top;0;2.2uF_25V_10%
C21;CAP_0603_2.2uF_25V;0603;13,88;44,419;Top;90;2.2uF_25V_10%
C22;CAP_0603_2.2uF_25V;0603;7,175;44,201;Top;180;2.2uF_25V_10%
C23;CAP_0603_2.2uF_25V;0603;-28,659;23,29;Top;180;2.2uF_25V_10%
C24;CAP_0603_2.2uF_25V;0603;0,603;64,482;Top;270;2.2uF_25V_10%
C25;CAP_0603_2.2uF_25V;0603;-9,832;65,198;Top;270;2.2uF_25V_10%
C26;CAP_0805_2.2uF_50V;0805;-41,25;12,251;Top;270;2.2 uF_50V_10%
C27;CAP_0805_2.2uF_50V;0805;-28,124;11,72;Top;90;2.2 uF_50V_10%
C28;CAP_0805_10uF_16V;0805;6,375;67,759;Top;0;10uF_16V_10%
C29;CAP_1206_10uF_50V;1206;6,101;10,846;Top;270;10uF_50V_10%
Heartbeat;0603 LED Orange;Kingbright 0603 LED KPT-1608SURCK;-19,574;32,904;Top;180;601nm
I2C;Pin header 4P;Pin header 4P;-23,893;59,103;Top;180;1x4
J1;Weidmuller SL 2P Vertical;Weidmuller SL 3.5/2/180G ORANGE 2P;13,696;7,394;Top;180;1x2 Vertical
J2;USB-A female Vertical;Molex 105057-0001 Top entry USB A;-6,08;76,061;Top;180;1x5
J3;Weidmuller SL 4P Vertical;Weidmuller SL 3.5/4/180G ORANGE 4P;-53,257;42,662;Top;90;1x4 Vertical
J4;Weidmuller SL 4P Vertical;Weidmuller SL 3.5/4/180G ORANGE 4P;-53,416;16,801;Top;90;1x4 Vertical
J5;Weidmuller SL 3P Vertical;Weidmuller SL 3.5/3/180G ORANGE 3P;-28,452;78,148;Top;0;1x3 Vertical
J6;USB-A Micro Vertical;GCT Micro USB Top;-38,467;55,173;Top;180;1x5
J7;Pin header 3P;Pin header 3P;-11,872;26,276;Top;270;1x3
J8;PIC ICSP;MOLEX-1X6_LOCK;0,251;26,38;Top;180;1x5
J10;Weidmuller SL 3P Vertical;Weidmuller SL 3.5/3/180G ORANGE 3P;-57,759;62,394;Top;90;1x3 Vertical
L1;Murata BLM18HE152SN1 ferrite;0603;-38,904;78,471;Top;90;BLM18HE152SN1
L2;Murata BLM18HE152SN1 ferrite;0603;-37,056;76,351;Top;90;BLM18HE152SN1
L3;Murata BLM18HE152SN1 ferrite;0603;-40,991;37,578;Top;180;BLM18HE152SN1
L4;Murata BLM18HE152SN1 ferrite;0603;-40,833;40,435;Top;180;BLM18HE152SN1
L5;Murata BLM18HE152SN1 ferrite;0603;-41,077;17,543;Top;180;BLM18HE152SN1
L6;Murata BLM18HE152SN1 ferrite;0603;-41,077;21,143;Top;180;BLM18HE152SN1
L7;Murata BLM18HE152SN1 ferrite;0603;-49,29;58,965;Top;180;BLM18HE152SN1
L8;Murata BLM18HE152SN1 ferrite;0603;-49,246;62,184;Top;180;BLM18HE152SN1
LED7;0603 LED Red;Kingbright 0603 LED KPT-1608SURCK;-12,846;53,897;Top;0;630nm
LED8;0603 LED Green;Kingbright 0603 LED KPT-1608SURCK;10,673;31,464;Top;270;568nm
MUX;0603 LED Orange;Kingbright 0603 LED KPT-1608SURCK;-3,809;36,421;Top;270;601nm
PWR_CAM;Weidmuller SL 2P Vertical;Weidmuller SL 3.5/2/180G ORANGE 2P;5,588;76,567;Top;180;1x2 Vertical
R1;RES_0402_10k_1%;0402;-9,379;29,176;Top;0;10k_1%
R2;RES_0402_470R_1%;0402;-10,333;32,518;Top;270;470R_1%
R3;RES_0402_100k_1%;0402;3,124;29,277;Top;0;100k_1%
R4;RES_0402_470R_1%;0402;-2,599;34,412;Top;180;470R_1%
R5;RES_0402_470R_1%;0402;-1,17;31,078;Top;180;470R_1%
R6;RES_0402_2k5_1%;0402;-25,596;63,646;Top;90;2k5_1%
