"RefDes","Pattern","X (mm)","Y (mm)","Side","Rotate","Name"
"C1","0603","-34,156","25,475","Top","270","CAP_0603_220nF_25V"
"C2","0603","-33,803","63,134","Top","270","CAP_0603_220nF_25V"
"C3","0603","-42,693","65,357","Top","270","CAP_0603_220nF_25V"
"C4","0603","-36,234","63,806","Top","0","CAP_0603_220nF_25V"
"C5","0603","-41,624","74,703","Top","0","CAP_0603_220nF_25V"
"C6","0603","-39,465","62,904","Top","270","CAP_0603_220nF_25V"
"C7","0603","-39,815","25,358","Top","180","CAP_0603_220nF_25V"
"C8","0603","-36,464","24,458","Top","0","CAP_0603_220nF_25V"
"C9","0603","-43,188","32,452","Top","0","CAP_0603_220nF_25V"
"C10","0805","-9,697","24,705","Top","270","CAP_0805_10uF_16V"
"C11","0603","-42,887","28,809","Top","270","CAP_0603_220nF_25V"
"C12","0603","-4,685","52,201","Top","270","CAP_0603_10pF_10V"
"C13","0603","-2,307","49,96","Top","180","CAP_0603_10pF_10V"
"C14","0402","-13,506","51,242","Top","0","CAP_0402_100nF_50V"
"C15","0402","-3,332","42,998","Top","270","CAP_0402_100nF_50V"
"C16","0402","-12,28","33,101","Top","0","CAP_0402_100nF_50V"
"C17","0805","-21,562","41,567","Top","180","CAP_0805_10uF_16V"
"C18","1206","26,483","25,389","Top","0","CAP_1206_10uF_50V"
"C19","0805","17,52","37,678","Top","180","CAP_0805_10uF_16V"
"C20","0603","-19,99","22,2","Top","0","CAP_0603_2.2uF_25V"
"C21","0603","13,88","44,419","Top","90","CAP_0603_2.2uF_25V"
"C22","0603","7,175","44,201","Top","180","CAP_0603_2.2uF_25V"
"C23","0603","-28,659","23,29","Top","180","CAP_0603_2.2uF_25V"
"C24","0603","0,603","64,482","Top","270","CAP_0603_2.2uF_25V"
"C25","0603","-9,832","65,198","Top","270","CAP_0603_2.2uF_25V"
"C26","0805","-41,25","12,251","Top","270","CAP_0805_2.2uF_50V"
"C27","0805","-28,124","11,72","Top","90","CAP_0805_2.2uF_50V"
"C28","0805","6,375","67,759","Top","0","CAP_0805_10uF_16V"
"C29","1206","6,101","10,846","Top","270","CAP_1206_10uF_50V"
"Heartbeat","Kingbright 0603 LED KPT-1608SURCK","-19,574","32,904","Top","180","0603 LED Orange"
"I2C","Pin header 4P","-23,893","59,103","Top","180","Pin header 4P"
"J1","Weidmuller SL 3.5/2/180G ORANGE 2P","13,696","7,394","Top","180","Weidmuller SL 2P Vertical"
"J2","Molex 105057-0001 Top entry USB A","-6,08","76,061","Top","180","USB-A female Vertical"
"J3","Weidmuller SL 3.5/4/180G ORANGE 4P","-53,257","42,662","Top","90","Weidmuller SL 4P Vertical"
"J4","Weidmuller SL 3.5/4/180G ORANGE 4P","-53,416","16,801","Top","90","Weidmuller SL 4P Vertical"
"J5","Weidmuller SL 3.5/3/180G ORANGE 3P","-28,452","78,148","Top","0","Weidmuller SL 3P Vertical"
"J6","GCT Micro USB Top","-38,467","55,173","Top","180","USB-A Micro Vertical"
"J7","Pin header 3P","-11,872","26,276","Top","270","Pin header 3P"
"J8","MOLEX-1X6_LOCK","0,251","26,38","Top","180","PIC ICSP"
"J10","Weidmuller SL 3.5/3/180G ORANGE 3P","-57,759","62,394","Top","90","Weidmuller SL 3P Vertical"
"L1","0603","-38,904","78,471","Top","90","Murata BLM18HE152SN1 ferrite"
"L2","0603","-37,056","76,351","Top","90","Murata BLM18HE152SN1 ferrite"
"L3","0603","-40,991","37,578","Top","180","Murata BLM18HE152SN1 ferrite"
"L4","0603","-40,833","40,435","Top","180","Murata BLM18HE152SN1 ferrite"
"L5","0603","-41,077","17,543","Top","180","Murata BLM18HE152SN1 ferrite"
"L6","0603","-41,077","21,143","Top","180","Murata BLM18HE152SN1 ferrite"
"L7","0603","-49,29","58,965","Top","180","Murata BLM18HE152SN1 ferrite"
"L8","0603","-49,246","62,184","Top","180","Murata BLM18HE152SN1 ferrite"
"LED7","Kingbright 0603 LED KPT-1608SURCK","-12,846","53,897","Top","0","0603 LED Red"
"LED8","Kingbright 0603 LED KPT-1608SURCK","10,673","31,464","Top","270","0603 LED Green"
"MUX","Kingbright 0603 LED KPT-1608SURCK","-3,809","36,421","Top","270","0603 LED Orange"
"PWR_CAM","Weidmuller SL 3.5/2/180G ORANGE 2P","5,588","76,567","Top","180","Weidmuller SL 2P Vertical"
"R1","0402","-9,379","29,176","Top","0","RES_0402_10k_1%"
"R2","0402","-10,333","32,518","Top","270","RES_0402_470R_1%"
"R3","0402","3,124","29,277","Top","0","RES_0402_100k_1%"
"R4","0402","-2,599","34,412","Top","180","RES_0402_470R_1%"
"R5","0402","-1,17","31,078","Top","180","RES_0402_470R_1%"
"R6","0402","-25,596","63,646","Top","90","RES_0402_2k5_1%"
"R7","0402","-24,131","63,523","Top","90","RES_0402_2k5_1%"
"R8","0603","-14,616","54,658","Top","90","RES_0603_100R_1%"
"R9","0402","-17,814","32,515","Top","270","RES_0402_470R_1%"
"R10","0603","14,454","31,524","Top","180","RES_0603_470R_1%"
"R11","0402","0,449","52,497","Top","0","RES_0402_2k5_1%"
"R12","0402","0,931","44,422","Top","90","RES_0402_2k5_1%"
"R13","0402","3,29","44,428","Top","180","RES_0402_100k_1%"
"S1","Panasonic EVQPLMA15 Tactile switch","-25,546","31,452","Top","270","EVQPLMA15 momentary switch"
"S2","C&K Switch","2,867","48,697","Top","0","SPST miniature"
"SENS","Kingbright 0603 LED KPT-1608SURCK","-3,095","33,007","Top","270","0603 LED Orange"
"SHIELD","Weidmuller SL 3.5/2/180G ORANGE 2P","-62,583","122,567","Top","180","Weidmuller SL 2P Vertical"
"SPI","HDR-2x4T/2.54x2.54/10x5","12,664","24,571","Top","0","Pin header 2x4P"
"U1","SOIC-16/150mil","-36,695","69,022","Top","90","MAX3232"
"U2","SOIC-16/150mil","-36,695","31,24","Top","90","MAX3232"
"U3","TQFP44","-12,464","42,116","Top","0","PIC24FJ128GB204 TQFP"
"U4","TO252-3V/9.6x6.6x2.3","-34,668","12,252","Top","270","BD90c0AFPS"
"I2C_SENSOR_BOARD","I2C Sensor DV Double","29,666","64,458","Top","270","I2C Sensor board DV Double"
"U6","Murata OKI-78SR-E","25,662","33,103","Top","90","OKI-78SR-5"
"U7","MCP1703-3302E/DB LDO","10,62","38,137","Top","180","MCP1703"
"U8","MCP1703-3302E/DB LDO","-24,377","18,076","Top","180","MCP1703"
"U9","Solder Jumper 3P","-14,449","64,305","Top","90","Solder jumper 3p narrow"
"U10I2C","MCP1703-3302E/DB LDO","-3,906","63,14","Top","180","MCP1703"
"Y1","XTAL_3.2x1.5","-5,388","49,137","Top","315","32k768 SMD XTAL"
