"#","Quantity","","","Name","Value","RefDes"
"1","1","","","CAP_unpol_0805","1u","C1"
"2","10","","","CAP_unpol_0805","0.22uF","C2, C3, C4, C5, C6, C7, C8, C9, C10, C11"
"3","1","","","Littlefuse 500mA/1A 2920L050","500mA","F1"
"4","2","","","Test point SMALL No marking","GND","J1, J10"
"5","1","","","Test point SMALL No marking","3.3V","J2"
"6","1","","","Weidmuller SL 3.5/5/90G ORANGE 5P","","J3"
"7","4","","","Weidmuller SL 3.5/3/90G ORANGE 3P","","J4, J5, J6, J11"
"8","1","","","Test point SMALL No marking","5.0V","J7"
"9","1","","","BBB P8 Kingbrite ESQ-123-14-G-D","","J8"
"10","1","","","BBB P9 Kingbrite ESQ-123-14-G-D","","J9"
"11","17","","","Murata BLM18HE152SN1 ferrite","BLM18HE152SN1","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17"
"12","2","","","RES_0603","120","R1, R5"
"13","6","","","RES_0603","10k","R2, R3, R6, R7, R8, R9"
"14","1","","","RES_0603","100","R4"
"15","2","","","MAX3232ESE+","","U1, U2"
"16","2","","","Solder jumper 3p","","U3, U4"
"17","1","","","MAX13433EESD+","","U5"
"","54","","","","",""
