"#","Quantity","Farnell","Manufacturer name","Name","Value","RefDes","Manufacturer"
"1","11","1833865","06033C224KAT2A","CAP_0603_220nF_25V","220nF_25V_10%","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11","AVX"
"2","2","","","Test point SMALL No marking","GND","J1, J10",""
"3","1","","","Test point SMALL No marking","3.3V","J2",""
"4","1","1121795","SL 3.5/5/90G","Weidmuller SL 5P Horizontal","1x5 Horizontal","J3","Weidmuller"
"5","4","1121791","SL 3.5/3/90G","Weidmuller SL 3P Horizontal","1x3 Horizontal","J4, J5, J6, J11","Weidmuller"
"6","1","","","Test point SMALL No marking","5.0V","J7",""
"7","1","2667408","ESQ-123-14-G-D","BBB P8 Samtec ESQ-123-14-G-D","2x23","J8","Samtec"
"8","1","2667408","ESQ-123-14-G-D","BBB P9 Samtec ESQ-123-14-G-D","","J9","Samtec"
"9","17","2443237","BLM18HE152SN1D","Murata BLM18HE152SN1 ferrite","BLM18HE152SN1","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17","Murata"
"10","5","2447298","MCWR06X2200FTL","RES_0603_220R_1%","220R_1%","R1, R2, R3, R4, R5","Multicomp"
"11","2","2519459","MAX3232ESE+","MAX3232","RS232","U1, U2","Maxim Integrated Products"
"12","2","","","Solder jumper 3p","","U3, U4",""
"13","1","2511596","MAX13433EESD+","MAX13433","RS485-full","U5","Maxim Integrated Products"
"","49","","","","","",""
