RefDes;Name;Pattern;X (mil);Y (mil);Side;Rotate;Value
C1;CAP_0603_220nF_25V;0603;1324,15;1576,41;Top;90;220nF_25V_10%
C2;CAP_0603_220nF_25V;0603;1644,52;454,83;Top;90;220nF_25V_10%
C3;CAP_0603_220nF_25V;0603;1375,31;612,18;Top;180;220nF_25V_10%
C4;CAP_0603_220nF_25V;0603;1641,68;280,66;Top;270;220nF_25V_10%
C5;CAP_0603_220nF_25V;0603;1249,58;637,09;Top;90;220nF_25V_10%
C6;CAP_0603_220nF_25V;0603;1499,48;633,68;Top;90;220nF_25V_10%
C7;CAP_0603_220nF_25V;0603;922,73;718,67;Top;90;220nF_25V_10%
C8;CAP_0603_220nF_25V;0603;650,41;862,08;Top;180;220nF_25V_10%
C9;CAP_0603_220nF_25V;0603;911;499,03;Top;270;220nF_25V_10%
C10;CAP_0603_220nF_25V;0603;541,16;858,86;Top;90;220nF_25V_10%
C11;CAP_0603_220nF_25V;0603;773,6;861,3;Top;90;220nF_25V_10%
J3;Weidmuller SL 5P Horizontal;Weidmuller SL 3.5/5/90G ORANGE 5P;1701,76;2548,67;Top;0;1x5 Horizontal
J4;Weidmuller SL 3P Horizontal;Weidmuller SL 3.5/3/90G ORANGE 3P;1470,06;-621,7;Top;180;1x3 Horizontal
J5;Weidmuller SL 3P Horizontal;Weidmuller SL 3.5/3/90G ORANGE 3P;845,06;-621,7;Top;180;1x3 Horizontal
J6;Weidmuller SL 3P Horizontal;Weidmuller SL 3.5/3/90G ORANGE 3P;220,06;-621,7;Top;180;1x3 Horizontal
J8;BBB P8 Samtec ESQ-123-14-G-D;BBB P8 Samtec ESQ-123-14-G-D;1299,7;1868,27;Top;0;2x23
J9;BBB P9 Samtec ESQ-123-14-G-D;BBB P9 Samtec ESQ-123-14-G-D;1293,33;35,06;Top;0;
J11;Weidmuller SL 3P Horizontal;Weidmuller SL 3.5/3/90G ORANGE 3P;716,95;2553,97;Top;0;1x3 Horizontal
L1;Murata BLM18HE152SN1 ferrite;0603;1625,38;-283,05;Top;270;BLM18HE152SN1
L2;Murata BLM18HE152SN1 ferrite;0603;1013,92;-275,15;Top;270;BLM18HE152SN1
L3;Murata BLM18HE152SN1 ferrite;0603;1480,19;-283,05;Top;270;BLM18HE152SN1
L4;Murata BLM18HE152SN1 ferrite;0603;874,18;-278,6;Top;270;BLM18HE152SN1
L5;Murata BLM18HE152SN1 ferrite;0603;399,24;-284,11;Top;270;BLM18HE152SN1
L6;Murata BLM18HE152SN1 ferrite;0603;260,26;-289,38;Top;270;BLM18HE152SN1
L7;Murata BLM18HE152SN1 ferrite;0603;1550,61;1692,21;Top;270;BLM18HE152SN1
L8;Murata BLM18HE152SN1 ferrite;0603;1445,6;1692,83;Top;270;BLM18HE152SN1
L9;Murata BLM18HE152SN1 ferrite;0603;1749,02;1693,9;Top;270;BLM18HE152SN1
L10;Murata BLM18HE152SN1 ferrite;0603;1649,01;1692,3;Top;270;BLM18HE152SN1
L11;Murata BLM18HE152SN1 ferrite;0603;1328,6;-287,23;Top;270;BLM18HE152SN1
L12;Murata BLM18HE152SN1 ferrite;0603;103,96;-282,28;Top;270;BLM18HE152SN1
L13;Murata BLM18HE152SN1 ferrite;0603;726,01;-281,51;Top;270;BLM18HE152SN1
L14;Murata BLM18HE152SN1 ferrite;0603;1994,04;2179,39;Top;180;BLM18HE152SN1
L15;Murata BLM18HE152SN1 ferrite;0603;550,96;2168,66;Top;90;BLM18HE152SN1
L16;Murata BLM18HE152SN1 ferrite;0603;702,91;2168,66;Top;90;BLM18HE152SN1
L17;Murata BLM18HE152SN1 ferrite;0603;863,73;2168,66;Top;90;BLM18HE152SN1
R1;RES_0603_220R_1%;0603;1719,37;2109,75;Top;0;220R_1%
R2;RES_0603_220R_1%;0603;1463,53;1234,33;Top;180;220R_1%
R3;RES_0603_220R_1%;0603;1760,64;1309,44;Top;270;220R_1%
R4;RES_0603_220R_1%;0603;1986,45;2083,42;Top;0;220R_1%
R5;RES_0603_220R_1%;0603;1495,28;2105,6;Top;0;220R_1%
U1;MAX3232;SOIC-16/150mil;1393,29;368,7;Top;270;RS232
U2;MAX3232;SOIC-16/150mil;668,29;618,7;Top;270;RS232
U3;Solder jumper 3p;Solder Jumper 3P;1918,75;1473,63;Top;0;
U4;Solder jumper 3p;Solder Jumper 3P;1918,13;1630;Top;0;
U5;MAX13433;SOIC-14/150mil;1525,42;1434,93;Top;90;RS485-full
