RefDes;Pattern;X (mm);Y (mm);Side;Rotate;Name
C1;0603;33,633;40,041;Top;90;CAP_0603_220nF_25V
C2;0603;41,771;11,553;Top;90;CAP_0603_220nF_25V
C3;0603;34,933;15,549;Top;180;CAP_0603_220nF_25V
C4;0603;41,699;7,129;Top;270;CAP_0603_220nF_25V
C5;0603;31,739;16,182;Top;90;CAP_0603_220nF_25V
C6;0603;38,087;16,095;Top;90;CAP_0603_220nF_25V
C7;0603;23,437;18,254;Top;90;CAP_0603_220nF_25V
C8;0603;16,52;21,897;Top;180;CAP_0603_220nF_25V
C9;0603;23,139;12,675;Top;270;CAP_0603_220nF_25V
C10;0603;13,745;21,815;Top;90;CAP_0603_220nF_25V
C11;0603;19,65;21,877;Top;90;CAP_0603_220nF_25V
J3;Weidmuller SL 3.5/5/90G ORANGE 5P;43,225;64,736;Top;0;Weidmuller SL 5P Horizontal
J4;Weidmuller SL 3.5/3/90G ORANGE 3P;37,34;-15,791;Top;180;Weidmuller SL 3P Horizontal
J5;Weidmuller SL 3.5/3/90G ORANGE 3P;21,465;-15,791;Top;180;Weidmuller SL 3P Horizontal
J6;Weidmuller SL 3.5/3/90G ORANGE 3P;5,59;-15,791;Top;180;Weidmuller SL 3P Horizontal
J8;BBB P8 Samtec ESQ-123-14-G-D;33,012;47,454;Top;0;BBB P8 Samtec ESQ-123-14-G-D
J9;BBB P9 Samtec ESQ-123-14-G-D;32,851;0,89;Top;0;BBB P9 Samtec ESQ-123-14-G-D
J11;Weidmuller SL 3.5/3/90G ORANGE 3P;18,211;64,871;Top;0;Weidmuller SL 3P Horizontal
L1;0603;41,285;-7,189;Top;270;Murata BLM18HE152SN1 ferrite
L2;0603;25,754;-6,989;Top;270;Murata BLM18HE152SN1 ferrite
L3;0603;37,597;-7,189;Top;270;Murata BLM18HE152SN1 ferrite
L4;0603;22,204;-7,077;Top;270;Murata BLM18HE152SN1 ferrite
L5;0603;10,141;-7,216;Top;270;Murata BLM18HE152SN1 ferrite
L6;0603;6,611;-7,35;Top;270;Murata BLM18HE152SN1 ferrite
L7;0603;39,385;42,982;Top;270;Murata BLM18HE152SN1 ferrite
L8;0603;36,718;42,998;Top;270;Murata BLM18HE152SN1 ferrite
L9;0603;44,425;43,025;Top;270;Murata BLM18HE152SN1 ferrite
L10;0603;41,885;42,985;Top;270;Murata BLM18HE152SN1 ferrite
L11;0603;33,746;-7,296;Top;270;Murata BLM18HE152SN1 ferrite
L12;0603;2,641;-7,17;Top;270;Murata BLM18HE152SN1 ferrite
L13;0603;18,441;-7,15;Top;270;Murata BLM18HE152SN1 ferrite
L14;0603;50,649;55,357;Top;180;Murata BLM18HE152SN1 ferrite
L15;0603;13,994;55,084;Top;90;Murata BLM18HE152SN1 ferrite
L16;0603;17,854;55,084;Top;90;Murata BLM18HE152SN1 ferrite
L17;0603;21,939;55,084;Top;90;Murata BLM18HE152SN1 ferrite
R1;0603;43,672;53,588;Top;0;RES_0603_220R_1%
R2;0603;37,174;31,352;Top;180;RES_0603_220R_1%
R3;0603;44,72;33,26;Top;270;RES_0603_220R_1%
R4;0603;50,456;52,919;Top;0;RES_0603_220R_1%
R5;0603;37,98;53,482;Top;0;RES_0603_220R_1%
U1;SOIC-16/150mil;35,39;9,365;Top;270;MAX3232
U2;SOIC-16/150mil;16,975;15,715;Top;270;MAX3232
U3;Solder Jumper 3P;48,736;37,43;Top;0;Solder jumper 3p
U4;Solder Jumper 3P;48,72;41,402;Top;0;Solder jumper 3p
U5;SOIC-14/150mil;38,746;36,447;Top;90;MAX13433
