#;Quantity;Farnell;;Name;Value;RefDes
1;1;;;Wurth 220uF 865080453013;220u;C1
2;1;;;ZENER BZD27C5V6P-E3-08;5.6V;D1
3;6;;;Kingbright 0603 LED KPT-1608SURCK;;D2, D3, D4, D5, D6, D7
4;1;;;Littlefuse 1812L110/33MR;1.1A;F1
5;6;;;Littlefuse 1.1A 1812L110/33MR;1.1A;F2, F3, F4, F5, F6, F7
6;5;;;Weidmuller SL 3.5/4/90G ORANGE 4P;;J1, J9, J10, J11, J19
7;1;;;BBB P9 Samtec ESQ-123-14-G-D;;J2
8;4;;;Test point;GND;J3, J5, J15, J18
9;6;;;Weidmuller SL 3.5/2/90G ORANGE 2P;;J4, J8, J13, J14, J16, J17
10;1;;;Test point;3.3V;J6
11;1;;;Test point;5V;J7
12;1;;;BBB P8 Samtec ESQ-123-14-G-D;;J12
13;6;;;RES_0603;5K6;R1, R2, R3, R4, R5, R12
14;6;;;RES_0603;1K;R6, R7, R8, R9, R10, R11
15;2;2309111;;RES_0603_0;0;R13, R14
16;1;2561690;;RES_0402_100k;100k_1%;R15
17;2;;;Panasonic EVQPLMA15 Tactile switch;;S1, S2
18;3;;;TC4427_UA;;U1, U2, U3
19;2;8540829;;MCP6001 Opamp;;U4, U5
;56;;;;;
