"#","Quantity","Farnell","Manufacturer name","Name","Value","RefDes","Manufacturer"
"1","1","2466305","865080453013","CAP_CAN_220uF_25V","220uF_25V_20%","C1","Wurth"
"2","10","2547035","C2012X5R1V106M085AC","CAP_0805_10uF_35V","10uF_35V_20%","C2, C3, C4, C5, C6, C7, C8, C9, C10, C11","Murata"
"3","6","2346885","C1005X5R1V105K050BC","CAP_0402_1uF_35V","1uF_35V_10%","C101, C103","TDK"
"4","1","1612383","BZD27C5V6P-E3-08","5.6V Zener (2)","5V6","D1","Vishay"
"5","6","2099222","KPT-1608SECK","0603 LED Orange","601nm","D2, D3, D4, D5, D6, D7","Kingbright"
"6","1","1822213","1812L110/33MR","Littlefuse 1.1A/1.95A 1812L110/33MR","1.1A","F1","Littlefuse"
"7","2","2309127","2920L030DR","Littlefuse 0.3A/0.6A 2920L030DR ","0.6A","F2, F3","Littlefuse"
"8","9","1121786","SL 3.5/2/90G","Weidmuller SL 2P Horizontal","1x2 Horizontal","IN5_1, J9, J10, OUT1, OUT2, OUT3, OUT4, OUT5, OUT6","Weidmuller"
"9","6","","","Test point SMALL No marking","GND","J1, J2, J5, J6, J7, J8",""
"10","2","1121793","SL 3.5/4/90G","Weidmuller SL 4P Horizontal","1x4 Horizontal","J3, J4","Weidmuller"
"11","1","2667408","ESQ-123-14-G-D","BBB P9 Samtec ESQ-123-14-G-D","","P1","Samtec"
"12","1","2667408","ESQ-123-14-G-D","BBB P8 Samtec ESQ-123-14-G-D","2x23","P2","Samtec"
"13","12","2072568","MCMR04X1182FTL","RES_0402_11k8_1%","11k8_1%","R1, R2, R105, R112","Multicomp"
"14","7","2613675","RN73C1J7K32BTDF","RES_0603_7k32_1%","7k32_0.1%","R8, R9, R10, R11, R12, R13, R16","TE"
"15","1","2447094","MCWR04X1003FTL","RES_0402_100k_1%","100k_1%","R14","Multicomp"
"16","1","988250","","POT_2k_10%_SMD","2k_10%","R15","Bourns"
"17","1","2309111","CRCW06034K99FKEA ","RES_0603_4k99_1%","4k99_1%","R17","Vishay"
"18","1","2694532","MCWR04X1104FTL","RES_0402_1M1_1%","1M1_1%","R21","Multicomp"
"19","6","2447096","MCWR04X1002FTL","RES_0402_10k_1%","10k_1%","R101, R108","Multicomp"
"20","6","2302923","ERJ2RKF5493X","RES_0402_549k_1%","549k_1%","R102, R109","Panasonic"
"21","6","2302866","ERJ2RKF1823X","RES_0402_182k_1%","182k_1%","R104, R111","Panasonic"
"22","6","2447133","MCWR04X2002FTL","RES_0402_20k_1%","20k_1%","R106, R113","Multicomp"
"23","6","2447157","MCWR04X3012FTL","RES_0402_30k1_1%","30k1_1%","R107, R114","Multicomp"
"24","2","2079484","EVQPLMA15 ","EVQPLMA15 momentary switch","","S1, S2","Panasonic"
"25","2","8540829","MCP6001R","MCP6001R Opamp","","U4, U5","Microchip"
"26","1","3005319","INA168NA/3K","INA168NA","Current sense amplifier","U7","Texas Instruments"
"27","6","3008522","TPS26600RHFT ","TPS26600RHFT eFuse","","U101, U102","TI"
"","110","","","","","",""
