RefDes;Name;Pattern;X (mil);Y (mil);Side;Rotate;Value
C1;CAP_CAN_220uF_25V;Wurth 2220uF cap 865080453013;251,36;325,19;Top;180;220uF_25V_20%
C2;CAP_0805_10uF_35V;0805;968,91;-300,99;Top;180;10uF_35V_20%
C3;CAP_0805_10uF_35V;0805;2638,48;-331,39;Top;0;10uF_35V_20%
C4;CAP_0805_10uF_35V;0805;2550,99;418,91;Top;270;10uF_35V_20%
C5;CAP_0805_10uF_35V;0805;2824,02;1663,49;Top;0;10uF_35V_20%
C6;CAP_0805_10uF_35V;0805;2256,09;2263,49;Top;0;10uF_35V_20%
C7;CAP_0805_10uF_35V;0805;272,89;2249,01;Top;180;10uF_35V_20%
C8;CAP_0805_10uF_35V;0805;1863,49;-617,66;Top;270;10uF_35V_20%
C9;CAP_0805_10uF_35V;0805;2712,34;1144,74;Top;0;10uF_35V_20%
C10;CAP_0805_10uF_35V;0805;1318,59;2263,49;Top;0;10uF_35V_20%
C11;CAP_0805_10uF_35V;0805;1343,91;192,76;Top;180;10uF_35V_20%
D1;5.6V Zener (2);DO-219AB Diode;-94,59;-243,75;Top;180;5V6
D2;0603 LED Orange;Kingbright 0603 LED KPT-1608SURCK;1200,29;-645,14;Top;180;601nm
D3;0603 LED Orange;Kingbright 0603 LED KPT-1608SURCK;2728,84;-677,69;Top;0;601nm
D4;0603 LED Orange;Kingbright 0603 LED KPT-1608SURCK;2863,94;191,53;Top;270;601nm
D5;0603 LED Orange;Kingbright 0603 LED KPT-1608SURCK;2811,06;1764,72;Top;90;601nm
D6;0603 LED Orange;Kingbright 0603 LED KPT-1608SURCK;2511,32;2567,46;Top;180;601nm
D7;0603 LED Orange;Kingbright 0603 LED KPT-1608SURCK;130,41;2546,72;Top;0;601nm
F1;Littlefuse 1.1A/1.95A 1812L110/33MR;Littlefuse 1812L PTC series;-70,91;-511,6;Top;90;1.1A
F2;Littlefuse 0.3A/0.6A 2920L030DR ;Littlefuse 2920L PTC series ;1161,17;768,75;Top;0;0.6A
F3;Littlefuse 0.3A/0.6A 2920L030DR ;Littlefuse 2920L PTC series ;837,5;738,83;Top;270;0.6A
IN5_1;Weidmuller SL 2P Horizontal;Weidmuller SL 3.5/2/90G ORANGE 2P;1334,56;2555,25;Top;0;1x2 Horizontal
J3;Weidmuller SL 4P Horizontal;Weidmuller SL 3.5/4/90G ORANGE 4P;385,59;-638,02;Top;180;1x4 Horizontal
J4;Weidmuller SL 4P Horizontal;Weidmuller SL 3.5/4/90G ORANGE 4P;332,06;1084,54;Top;90;1x4 Horizontal
