RefDes;Pattern;X (mm);Y (mm);Side;Rotate;Name
C1;Wurth 2220uF cap 865080453013;6,384;8,26;Top;180;CAP_CAN_220uF_25V
C2;0805;24,61;-7,645;Top;180;CAP_0805_10uF_35V
C3;0805;67,017;-8,417;Top;0;CAP_0805_10uF_35V
C4;0805;64,795;10,64;Top;270;CAP_0805_10uF_35V
C5;0805;71,73;42,253;Top;0;CAP_0805_10uF_35V
C6;0805;57,305;57,493;Top;0;CAP_0805_10uF_35V
C7;0805;6,931;57,125;Top;180;CAP_0805_10uF_35V
C8;0805;47,333;-15,689;Top;270;CAP_0805_10uF_35V
C9;0805;68,894;29,076;Top;0;CAP_0805_10uF_35V
C10;0805;33,492;57,493;Top;0;CAP_0805_10uF_35V
C11;0805;34,135;4,896;Top;180;CAP_0805_10uF_35V
D1;DO-219AB Diode;-2,402;-6,191;Top;180;5.6V Zener (2)
D2;Kingbright 0603 LED KPT-1608SURCK;30,487;-16,387;Top;180;0603 LED Orange
D3;Kingbright 0603 LED KPT-1608SURCK;69,313;-17,213;Top;0;0603 LED Orange
D4;Kingbright 0603 LED KPT-1608SURCK;72,744;4,865;Top;270;0603 LED Orange
D5;Kingbright 0603 LED KPT-1608SURCK;71,401;44,824;Top;90;0603 LED Orange
D6;Kingbright 0603 LED KPT-1608SURCK;63,787;65,213;Top;180;0603 LED Orange
D7;Kingbright 0603 LED KPT-1608SURCK;3,313;64,687;Top;0;0603 LED Orange
F1;Littlefuse 1812L PTC series;-1,801;-12,995;Top;90;Littlefuse 1.1A/1.95A 1812L110/33MR
F2;Littlefuse 2920L PTC series ;29,494;19,526;Top;0;Littlefuse 0.3A/0.6A 2920L030DR 
F3;Littlefuse 2920L PTC series ;21,273;18,766;Top;270;Littlefuse 0.3A/0.6A 2920L030DR 
IN5_1;Weidmuller SL 3.5/2/90G ORANGE 2P;33,898;64,903;Top;0;Weidmuller SL 2P Horizontal
J3;Weidmuller SL 3.5/4/90G ORANGE 4P;9,794;-16,206;Top;180;Weidmuller SL 4P Horizontal
J4;Weidmuller SL 3.5/4/90G ORANGE 4P;8,434;27,547;Top;90;Weidmuller SL 4P Horizontal
J9;Weidmuller SL 3.5/2/90G ORANGE 2P;41,852;-16,206;Top;180;Weidmuller SL 2P Horizontal
J10;Weidmuller SL 3.5/2/90G ORANGE 2P;72,26;23,652;Top;270;Weidmuller SL 2P Horizontal
OUT1;Weidmuller SL 3.5/2/90G ORANGE 2P;24,752;-16,206;Top;180;Weidmuller SL 2P Horizontal
OUT2;Weidmuller SL 3.5/2/90G ORANGE 2P;63,652;-16,206;Top;180;Weidmuller SL 2P Horizontal
OUT3;Weidmuller SL 3.5/2/90G ORANGE 2P;72,26;10,852;Top;270;Weidmuller SL 2P Horizontal
OUT4;Weidmuller SL 3.5/2/90G ORANGE 2P;72,26;36,452;Top;270;Weidmuller SL 2P Horizontal
OUT5;Weidmuller SL 3.5/2/90G ORANGE 2P;57,548;64,745;Top;0;Weidmuller SL 2P Horizontal
OUT6;Weidmuller SL 3.5/2/90G ORANGE 2P;9,248;64,745;Top;0;Weidmuller SL 2P Horizontal
P1;BBB P9 Samtec ESQ-123-14-G-D;32,871;0,92;Top;0;BBB P9 Samtec ESQ-123-14-G-D
P2;BBB P8 Samtec ESQ-123-14-G-D;33,032;47,424;Top;0;BBB P8 Samtec ESQ-123-14-G-D
