"#";"RefDes";"Value";"Name";"Part";"Number of Pins";"Pattern";"Manufacturer";"Quantity";"Datasheet"
"1";"GND";"GND";"Test point SMALL No marking";"Part 1";"1";"Solder spot/pin header small no marking";"";"1";""
"2";"GND1";"GND";"Test point SMALL No marking";"Part 1";"1";"Solder spot/pin header small no marking";"";"1";""
"3";"J1";"";"Weidmuller SL 3.5/2/90G ORANGE 2P";"Part 1";"2";"Weidmuller SL 3.5/2/90G ORANGE 2P";"Weidmuller";"1";"SL 3.5/2/90G"
"4";"J2";"";"Weidmuller SL 3.5/2/90G ORANGE 2P";"Part 1";"2";"Weidmuller SL 3.5/2/90G ORANGE 2P";"Weidmuller";"1";"SL 3.5/2/90G"
"5";"J3";"";"Weidmuller SL 3.5/4/90G ORANGE 4P";"Part 1";"4";"Weidmuller SL 3.5/4/90G ORANGE 4P";"Weidmuller";"1";"SL 3.5/2/90G"
"6";"J4";"";"Weidmuller SL 3.5/4/90G ORANGE 4P";"Part 1";"4";"Weidmuller SL 3.5/4/90G ORANGE 4P";"Weidmuller";"1";"SL 3.5/2/90G"
"7";"J5";"";"Weidmuller SL 3.5/4/90G ORANGE 4P";"Part 1";"4";"Weidmuller SL 3.5/4/90G ORANGE 4P";"Weidmuller";"1";"SL 3.5/2/90G"
"8";"J6";"";"Weidmuller SL 3.5/4/90G ORANGE 4P";"Part 1";"4";"Weidmuller SL 3.5/4/90G ORANGE 4P";"Weidmuller";"1";"SL 3.5/2/90G"
"9";"VCC";"VCC";"Test point SMALL No marking";"Part 1";"1";"Solder spot/pin header small no marking";"";"1";""
"10";"VCC1";"VCC";"Test point SMALL No marking";"Part 1";"1";"Solder spot/pin header small no marking";"";"1";""
"";"";"";"";"";"24";"";"";"10";""
