Artikelnr.,Ordercode,RoHS-compatibel?,Uw art.nr.,Opmerkingen,Hoeveelheid,Artikelnummer fabrikant,Naam fabrikant,Fabrikant / beschrijving,Beschikbaarheid,Prijs per stuk,Artikelprijs,Prijs na korting
1,2432757,RoHS: YES / FTALATEN: YES,,,1.0,"PIC24FJ128GB204-I/PT",MICROCHIP,"MICROCHIP  PIC/DSPIC Microcontroller, General Purpose, PIC24 Family PIC24FJ GB Series Microcontrollers, PIC24",485,3.5500,3.55,,
2,2672214,RoHS: YES / FTALATEN: YES,,,5.0,"GRT31CR61H106KE01L",MURATA,"MURATA  SMD Multilayer Ceramic Capacitor, 10 µF, 50 V, 1206 [3216 Metric], ± 10%, X5R, GRT Series",168553,0.6870,3.44,,
3,1845734,RoHS: YES / FTALATEN: YES,,,10.0,"GRM188R61E225KA12D",MURATA,"MURATA  SMD Multilayer Ceramic Capacitor, 2.2 µF, 25 V, 0603 [1608 Metric], ± 10%, X5R, GRM Series",348660,0.1510,1.51,,
4,2112369,RoHS: YES / FTALATEN: YES,,,1.0,"USB-A-S-RA",MULTICOMP,"MULTICOMP  USB Connector, USB Type A, USB 3.0, Receptacle, 4 Ways, Through Hole Mount, Right Angle",1580,0.8730,0.87,,
5,1125348,RoHS: YES / FTALATEN: YES,,,1.0,"67503-1020",MOLEX,"MOLEX  USB Connector, Mini USB Type B, USB 2.0, Receptacle, 5 Ways, Surface Mount, Right Angle",9711,0.7230,0.72,,
6,2443237,RoHS: YES / FTALATEN: YES,,,10.0,"BLM18HE152SN1D",MURATA,"MURATA  Ferrite Bead, 0603 [1608 Metric], 1.5 kohm, 500 mA, BLM18H Series, 0.5 ohm, ± 25%",31568,0.0935,0.94,,
7,2099222,RoHS: YES / FTALATEN: YES,,,5.0,"KPT-1608SECK",KINGBRIGHT,"KINGBRIGHT  LED, Low Power, Orange, SMD, 0603, 20 mA, 2.1 V, 601 nm",13213,0.1220,0.61,,
8,8529833,RoHS: YES / FTALATEN: YES,,,5.0,"KP-1608SGC",KINGBRIGHT,"KINGBRIGHT  LED, Low Power, Green, SMD, 0603, 20 mA, 2.2 V, 568 nm",46042,0.1250,0.63,,
9,2561690,RoHS: YES / FTALATEN: YES,,,10.0,"ERJPA2F1003X",PANASONIC,"PANASONIC  SMD Chip Resistor, Anti-Surge, 0402 [1005 Metric], 100 kohm, ERJPA2 Series, 50 V, Thick Film",2157,0.1740,1.74,,
10,2812635,RoHS: Y-EX / FTALATEN: TBA,,,1.0,"OKI-78SR-5/1.5-W36E-C",MURATA POWER SOLUTIONS,"MURATA POWER SOLUTIONS  Non Isolated POL DC/DC Converter, 1 Output, 7.5 W, 5 V, 1.5 A, Fixed, Through Hole",79,5.2900,5.29,,
11,1627177,RoHS: YES / FTALATEN: YES,,,3.0,"MCP1703-3302E/DB",MICROCHIP,"MICROCHIP  Fixed LDO Voltage Regulator, 2.7V to 16V, 525mV Dropout, 3.3Vout, 250mAout, SOT-223-3",4228,0.5440,1.63,,
12,1652573,RoHS: YES / FTALATEN: TBA,,,1.0,"R26-32.768- 12.5",RALTRON,"RALTRON  Crystal, 32.768 kHz, Cylinder Radial, 6.2mm x 2mm Dia, 12.5 pF, 20 ppm, R26 Series",14008,0.1870,0.19,,
13,1833865,RoHS: YES / FTALATEN: YES,,,10.0,"06033C224KAT2A",AVX,"AVX  SMD Multilayer Ceramic Capacitor, 0.22 µF, 25 V, 0603 [1608 Metric], ± 10%, X7R, AVX 0603 MLCC",9069,0.1860,1.86,,
14,2611940,RoHS: YES / FTALATEN: YES,,,10.0,"GRM21BR61C106KE15K",MURATA,"MURATA  SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 10%, X5R, GRM Series",98412,0.2630,2.63,,
15,1856079,RoHS: YES / FTALATEN: YES,,,10.0,"MCMT18N100F100CT",MULTICOMP,"MULTICOMP  SMD Multilayer Ceramic Capacitor, 10 pF, 10 V, 0603 [1608 Metric], ± 1%, C0G / NP0, MCMT Series",779,0.0906,0.91,,
16,2611878,RoHS: YES / FTALATEN: YES,,,10.0,"GCM155R71H104KE02D",MURATA,"MURATA  SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0402 [1005 Metric], ± 10%, X7R, GCM Series",322590,0.0838,0.84,,
17,2320839,RoHS: YES / FTALATEN: YES,,,10.0,"MC0805B104J500CT",MULTICOMP,"MULTICOMP  SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 5%, X7R, MC Series",79329,0.1150,1.15,,
